,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
169,Banner Del E. Webb Medical Center,6860430,6860430,IHQCANC,40.0/100,,,,adult,2023-01-04 20:29:21.680567
170,Augusta University Medical Center,6380254,6380254,IHQCANC,39.9/100,,,,adult,2023-01-04 20:29:21.680567
171,Providence Holy Cross Medical Center,6932860,6932860,IHQCANC,39.9/100,,,,adult,2023-01-04 20:29:21.680567
172,Ochsner Medical Center,6720631,6720631,IHQCANC,39.8/100,,,,adult,2023-01-04 20:29:21.680567
173,St. Luke's University Hospital-Bethlehem Campus,6230049,6230049,IHQCANC,39.8/100,,,,adult,2023-01-04 20:29:21.680567
174,University of Illinois Hospital,6430553,6430553,IHQCANC,39.8/100,,,,adult,2023-01-04 20:29:21.680567
175,Advocate Good Shepherd Hospital,6430160,6430160,IHQCANC,39.7/100,,,,adult,2023-01-04 20:29:21.680567
176,Cooperman Barnabas Medical Center,6220800,6220800,IHQCANC,39.7/100,,,,adult,2023-01-04 20:29:21.680567
177,Ascension St. Alexius Hospital,6431926,6431926,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
178,Carle Foundation Hospital,6433070,6433070,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
179,Kaiser Permanente San Francisco Medical Center,6930015,6930015,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
180,Piedmont Fayette Hospital,6380024,6380024,IHQCANC,39.5/100,,,,adult,2023-01-04 20:29:21.680567
181,Pennsylvania Hospital,6230022,6230022,IHQCANC,39.4/100,,,,adult,2023-01-04 20:29:21.680567
182,Swedish First Hill Hospital,6910006,6910006,IHQCANC,39.4/100,,,,adult,2023-01-04 20:29:21.680567
183,ECU Health Medical Center,6360690,6360690,IHQCANC,39.2/100,,,,adult,2023-01-04 20:29:21.680567
184,HonorHealth Scottsdale Shea Medical Center,6860395,6860395,IHQCANC,39.1/100,,,,adult,2023-01-04 20:29:21.680567
185,UF Health Jacksonville,6390082,6390082,IHQCANC,39.1/100,,,,adult,2023-01-04 20:29:21.680567
186,Chester County Hospital,6233400,6233400,IHQCANC,39.0/100,,,,adult,2023-01-04 20:29:21.680567
187,Cleveland Clinic Akron General,6410010,6410010,IHQCANC,39.0/100,,,,adult,2023-01-04 20:29:21.680567
188,Research Medical Center,6630435,6630435,IHQCANC,38.9/100,,,,adult,2023-01-04 20:29:21.680567
189,UPMC Passavant,6232540,6232540,IHQCANC,38.9/100,,,,adult,2023-01-04 20:29:21.680567
190,Virginia Mason Medical Center,6910780,6910780,IHQCANC,38.9/100,,,,adult,2023-01-04 20:29:21.680567
191,Kaiser Permanente Sunnyside Medical Center,6920045,6920045,IHQCANC,38.8/100,,,,adult,2023-01-04 20:29:21.680567
192,Memorial Hermann Hospital,6741890,6741890,IHQCANC,38.8/100,,,,adult,2023-01-04 20:29:21.680567
193,Ascension Providence Hospital-Southfield,6440780,6440780,IHQCANC,38.7/100,,,,adult,2023-01-04 20:29:21.680567
194,Sentara Virginia Beach General Hospital,6341162,6341162,IHQCANC,38.7/100,,,,adult,2023-01-04 20:29:21.680567
195,Baptist Memorial Hospital-Memphis,6520681,6520681,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
196,Kaiser Permanente Fontana and Ontario Medical Centers,6930737,6930737,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
197,Providence St. Jude Medical Center,6930823,6930823,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
198,SCL Health St. Joseph Hospital,6840400,6840400,IHQCANC,38.6/100,,,,adult,2023-01-04 20:29:21.680567
199,Providence Mission Hospital-Mission Viejo and Laguna Beach,6931915,6931915,IHQCANC,38.5/100,,,,adult,2023-01-04 20:29:21.680567
200,UMass Memorial Medical Center,6141095,6141095,IHQCANC,38.4/100,,,,adult,2023-01-04 20:29:21.680567
201,Brigham and Women's Faulkner Hospital,6140310,6140310,IHQCANC,38.3/100,,,,adult,2023-01-04 20:29:21.680567
202,ChristianaCare Hospitals,6310120,6310120,IHQCANC,38.3/100,,,,adult,2023-01-04 20:29:21.680567
203,Jefferson Health-Abington Hospital,6230010,6230010,IHQCANC,38.3/100,,,,adult,2023-01-04 20:29:21.680567
204,Inova Loudoun Hospital,6340400,6340400,IHQCANC,38.2/100,,,,adult,2023-01-04 20:29:21.680567
205,Kaiser Permanente Downey Medical Center,6930243,6930243,IHQCANC,38.2/100,,,,adult,2023-01-04 20:29:21.680567
206,Johns Hopkins Bayview Medical Center,6320050,6320050,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
207,Kaiser Permanente San Diego Zion and San Diego Medical Center,6931173,6931173,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
208,Providence Alaska Medical Center,6940020,6940020,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
209,Providence St. Joseph Hospital-Orange,6932300,6932300,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
210,Providence St. Joseph Medical Center-Burbank,6930340,6930340,IHQCANC,38.1/100,,,,adult,2023-01-04 20:29:21.680567
211,Advent Health Shawnee Mission,6670783,6670783,IHQCANC,38.0/100,,,,adult,2023-01-04 20:29:21.680567
212,Porter Adventist Hospital,6840360,6840360,IHQCANC,38.0/100,,,,adult,2023-01-04 20:29:21.680567
213,Billings Clinic,6810020,6810020,IHQCANC,37.9/100,,,,adult,2023-01-04 20:29:21.680567
214,Memorial Regional Hospital,6390295,6390295,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
215,Methodist Dallas Medical Center,6741018,6741018,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
216,Penn Medicine Princeton Medical Center,6221190,6221190,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
217,St. David's South Austin Medical Center,6740095,6740095,IHQCANC,37.8/100,,,,adult,2023-01-04 20:29:21.680567
218,Banner Estrella Medical Center,6860036,6860036,IHQCANC,37.7/100,,,,adult,2023-01-04 20:29:21.680567
